Year,Month,Abs_Temp
1850,1,11.426
1850,2,12.209999999999999
1850,3,12.678
1850,4,13.362
1850,5,14.289
1850,6,15.282
1850,7,15.735
1850,8,15.574
1850,9,14.743
1850,10,13.642
1850,11,12.643
1850,12,11.961
1851,1,12.018
1851,2,12.004999999999999
1851,3,12.489
1851,4,13.335
1851,5,14.599
1851,6,15.38
1851,7,15.69
1851,8,15.426
1851,9,14.767
1851,10,14.089
1851,11,12.839
1851,12,12.308
1852,1,11.945
1852,2,11.905
1852,3,12.309000000000001
1852,4,13.432
1852,5,14.76
1852,6,15.526
1852,7,15.87
1852,8,15.387
1852,9,14.862
1852,10,14.072
1852,11,12.68
1852,12,12.536
1853,1,11.832
1853,2,12.083
1853,3,12.646
1853,4,13.690000000000001
1853,5,14.652
1853,6,15.456
1853,7,15.943
1853,8,15.685
1853,9,14.763
1853,10,13.761
1853,11,12.56
1853,12,12.120000000000001
1854,1,11.631
1854,2,11.818
1854,3,12.756
1854,4,13.551
1854,5,14.629999999999999
1854,6,15.159
1854,7,15.73
1854,8,15.549
1854,9,14.917
1854,10,14.356
1854,11,12.989
1854,12,12.252
1855,1,12.141
1855,2,12.298
1855,3,12.774000000000001
1855,4,13.871
1855,5,14.695
1855,6,15.294
1855,7,15.536999999999999
1855,8,15.494
1855,9,14.692
1855,10,13.931
1855,11,12.824
1855,12,11.903
1856,1,12.199000000000002
1856,2,12.014
1856,3,12.632
1856,4,13.548
1856,5,14.578
1856,6,15.506
1856,7,15.627
1856,8,15.227
1856,9,14.452
1856,10,13.555
1856,11,12.638
1856,12,12.017000000000001
1857,1,11.657
1857,2,11.843
1857,3,12.42
1857,4,13.149000000000001
1857,5,14.177999999999999
1857,6,15.099
1857,7,15.443
1857,8,15.285
1857,9,14.633
1857,10,13.698
1857,11,12.701
1857,12,12.208
1858,1,11.941
1858,2,11.903
1858,3,12.723
1858,4,13.668000000000001
1858,5,14.501
1858,6,15.369
1858,7,15.591
1858,8,15.421
1858,9,14.682
1858,10,13.953
1858,11,13.031
1858,12,11.943
1859,1,11.799000000000001
1859,2,12.097
1859,3,12.780000000000001
1859,4,13.966000000000001
1859,5,14.924999999999999
1859,6,15.51
1859,7,15.591
1859,8,15.383
1859,9,14.644
1859,10,13.983
1859,11,13.015
1859,12,12.349
1860,1,11.833
1860,2,12.084
1860,3,12.33
1860,4,13.67
1860,5,14.696
1860,6,15.422
1860,7,15.64
1860,8,15.523
1860,9,14.869
1860,10,13.88
1860,11,12.681000000000001
1860,12,11.578000000000001
1861,1,11.153
1861,2,11.74
1861,3,12.449
1861,4,13.518
1861,5,14.45
1861,6,15.248000000000001
1861,7,15.587
1861,8,15.536
1861,9,14.758
1861,10,13.761
1861,11,13.0
1861,12,12.09
1862,1,11.257000000000001
1862,2,11.642999999999999
1862,3,12.522
1862,4,13.419
1862,5,14.620999999999999
1862,6,15.308
1862,7,15.566
1862,8,15.239
1862,9,14.618
1862,10,13.766
1862,11,12.655000000000001
1862,12,11.569
1863,1,12.05
1863,2,12.112
1863,3,12.698
1863,4,13.695
1863,5,14.686
1863,6,15.283000000000001
1863,7,15.536999999999999
1863,8,15.354
1863,9,14.657
1863,10,13.766
1863,11,12.863
1863,12,12.054
1864,1,11.618
1864,2,12.017999999999999
1864,3,12.667
1864,4,13.569
1864,5,14.783
1864,6,15.558
1864,7,15.748
1864,8,15.426
1864,9,14.686
1864,10,13.911
1864,11,12.846
1864,12,12.024000000000001
1865,1,12.293000000000001
1865,2,12.136
1865,3,12.643
1865,4,13.595
1865,5,14.658999999999999
1865,6,15.394
1865,7,15.757
1865,8,15.525
1865,9,14.965
1865,10,14.052
1865,11,13.053
1865,12,11.993
1866,1,12.217
1866,2,12.059
1866,3,12.602
1866,4,13.457
1866,5,14.572
1866,6,15.389000000000001
1866,7,16.035
1866,8,15.532
1866,9,14.866
1866,10,13.991
1866,11,13.175
1866,12,12.554
1867,1,12.043000000000001
1867,2,12.094
1867,3,12.766
1867,4,13.837
1867,5,14.527999999999999
1867,6,15.435
1867,7,15.73
1867,8,15.484
1867,9,15.029
1867,10,14.259
1867,11,13.472000000000001
1867,12,12.317
1868,1,11.697000000000001
1868,2,11.765
1868,3,12.762
1868,4,13.874
1868,5,14.833
1868,6,15.542
1868,7,15.968
1868,8,15.684
1868,9,14.908
1868,10,14.235
1868,11,12.891
1868,12,12.321
1869,1,11.984
1869,2,12.360999999999999
1869,3,12.627
1869,4,13.713000000000001
1869,5,14.748999999999999
1869,6,15.441
1869,7,15.674
1869,8,15.554
1869,9,15.084
1869,10,14.026
1869,11,13.031
1869,12,12.06
1870,1,11.898000000000001
1870,2,11.947
1870,3,12.716000000000001
1870,4,13.705
1870,5,14.76
1870,6,15.535
1870,7,15.812
1870,8,15.459
1870,9,14.969
1870,10,13.915
1870,11,12.904
1870,12,11.904
1871,1,11.671000000000001
1871,2,11.855
1871,3,12.799000000000001
1871,4,13.914
1871,5,14.644
1871,6,15.42
1871,7,15.759
1871,8,15.553
1871,9,14.774
1871,10,14.001
1871,11,12.702
1871,12,12.095
1872,1,11.765
1872,2,12.035
1872,3,12.703000000000001
1872,4,13.617
1872,5,14.747
1872,6,15.371
1872,7,15.794
1872,8,15.702
1872,9,14.981
1872,10,14.046
1872,11,12.805
1872,12,11.99
1873,1,11.889000000000001
1873,2,12.339
1873,3,12.778
1873,4,13.519
1873,5,14.66
1873,6,15.436
1873,7,15.741
1873,8,15.595
1873,9,14.795
1873,10,14.004
1873,11,12.891
1873,12,12.257
1874,1,11.986
1874,2,12.157
1874,3,12.426
1874,4,13.603
1874,5,14.725
1874,6,15.298
1874,7,15.647
1874,8,15.568
1874,9,15.004
1874,10,13.929
1874,11,12.812000000000001
1874,12,12.17
1875,1,11.745000000000001
1875,2,12.065999999999999
1875,3,12.596
1875,4,13.587
1875,5,14.647
1875,6,15.357000000000001
1875,7,15.695
1875,8,15.49
1875,9,14.895999999999999
1875,10,14.066
1875,11,12.67
1875,12,12.018
1876,1,11.826
1876,2,12.157
1876,3,12.766
1876,4,13.701
1876,5,14.411999999999999
1876,6,15.308
1876,7,15.743
1876,8,15.429
1876,9,14.811
1876,10,13.981
1876,11,12.751000000000001
1876,12,11.9
1877,1,11.946000000000002
1877,2,12.337
1877,3,13.110000000000001
1877,4,13.857000000000001
1877,5,14.866
1877,6,15.571
1877,7,16.033
1877,8,15.958
1877,9,15.321
1877,10,14.427
1877,11,13.436
1877,12,12.391
1878,1,12.192
1878,2,12.834
1878,3,13.619
1878,4,14.274000000000001
1878,5,14.866999999999999
1878,6,15.735000000000001
1878,7,16.036
1878,8,15.812
1878,9,15.147
1878,10,14.192
1878,11,13.249
1878,12,12.364
1879,1,12.103000000000002
1879,2,12.206
1879,3,12.982000000000001
1879,4,13.678
1879,5,14.673
1879,6,15.439
1879,7,15.697
1879,8,15.488
1879,9,14.850999999999999
1879,10,14.148
1879,11,12.943
1879,12,11.986
1880,1,11.815000000000001
1880,2,11.911999999999999
1880,3,12.769
1880,4,13.627
1880,5,14.703999999999999
1880,6,15.332
1880,7,15.641
1880,8,15.547
1880,9,14.780999999999999
1880,10,13.924
1880,11,13.049000000000001
1880,12,12.242
1881,1,12.116000000000001
1881,2,12.237
1881,3,12.986
1881,4,13.969000000000001
1881,5,14.868
1881,6,15.296000000000001
1881,7,15.763
1881,8,15.607
1881,9,14.87
1881,10,13.994
1881,11,12.843
1881,12,12.259
1882,1,12.290000000000001
1882,2,12.433
1882,3,12.943
1882,4,13.695
1882,5,14.684
1882,6,15.301
1882,7,15.564
1882,8,15.556
1882,9,14.972
1882,10,13.886
1882,11,12.815000000000001
1882,12,11.877
1883,1,11.799000000000001
1883,2,12.004
1883,3,12.956000000000001
1883,4,13.647
1883,5,14.703999999999999
1883,6,15.518
1883,7,15.65
1883,8,15.398
1883,9,14.818999999999999
1883,10,13.995
1883,11,12.731
1883,12,12.204
1884,1,11.958
1884,2,12.232
1884,3,12.543000000000001
1884,4,13.425
1884,5,14.35
1884,6,15.132
1884,7,15.363
1884,8,15.271
1884,9,14.638
1884,10,13.771
1884,11,12.627
1884,12,12.031
1885,1,11.530000000000001
1885,2,11.95
1885,3,12.679
1885,4,13.461
1885,5,14.398
1885,6,15.069
1885,7,15.563
1885,8,15.313
1885,9,14.76
1885,10,13.949
1885,11,12.818
1885,12,12.304
1886,1,11.557
1886,2,11.78
1886,3,12.517000000000001
1886,4,13.577
1886,5,14.613
1886,6,15.172
1886,7,15.63
1886,8,15.304
1886,9,14.68
1886,10,13.784
1886,11,12.657
1886,12,12.09
1887,1,11.257000000000001
1887,2,11.714
1887,3,12.577
1887,4,13.597000000000001
1887,5,14.469
1887,6,15.151
1887,7,15.557
1887,8,15.193999999999999
1887,9,14.77
1887,10,13.813
1887,11,12.791
1887,12,12.041
1888,1,11.834000000000001
1888,2,11.899
1888,3,12.6
1888,4,13.593
1888,5,14.584999999999999
1888,6,15.322000000000001
1888,7,15.671
1888,8,15.472
1888,9,14.878
1888,10,14.167
1888,11,13.07
1888,12,12.368
1889,1,12.086
1889,2,12.67
1889,3,13.108
1889,4,14.045
1889,5,14.792
1889,6,15.456
1889,7,15.758
1889,8,15.46
1889,9,14.826
1889,10,13.961
1889,11,12.743
1889,12,12.148
1890,1,11.759
1890,2,11.999
1890,3,12.495000000000001
1890,4,13.576
1890,5,14.453999999999999
1890,6,15.18
1890,7,15.482
