Year,Month,Anomaly,Unc.,Anomaly,Unc.
1850,1,-0.784,0.374,NaN,NaN
1850,2,-0.22,0.468,NaN,NaN
1850,3,-0.382,0.355,NaN,NaN
1850,4,-0.618,0.443,NaN,NaN
1850,5,-0.651,0.33,NaN,NaN
1850,6,-0.368,0.307,-0.461,0.205
1850,7,-0.185,0.206,-0.412,0.202
1850,8,-0.176,0.255,-0.429,0.192
1850,9,-0.437,0.252,-0.445,0.19
1850,10,-0.608,0.334,-0.447,0.179
1850,11,-0.587,0.314,-0.421,0.182
1850,12,-0.519,0.33,-0.413,0.182
1851,1,-0.192,0.371,-0.417,0.184
1851,2,-0.425,0.382,-0.429,0.187
1851,3,-0.571,0.298,-0.427,0.192
1851,4,-0.645,0.281,-0.39,0.198
1851,5,-0.341,0.347,-0.373,0.203
1851,6,-0.27,0.354,-0.344,0.214
1851,7,-0.23,0.229,-0.351,0.229
1851,8,-0.324,0.269,-0.359,0.241
1851,9,-0.413,0.302,-0.374,0.247
1851,10,-0.161,0.387,-0.366,0.248
1851,11,-0.391,0.296,-0.352,0.249
1851,12,-0.172,0.458,-0.34,0.256
1852,1,-0.265,0.493,-0.325,0.257
1852,2,-0.525,0.446,-0.328,0.251
1852,3,-0.751,0.348,-0.321,0.245
1852,4,-0.548,0.306,-0.322,0.231
1852,5,-0.18,0.372,-0.335,0.231
1852,6,-0.124,0.285,-0.316,0.219
1852,7,-0.05,0.22,-0.326,0.21
1852,8,-0.363,0.269,-0.311,0.192
1852,9,-0.318,0.248,-0.283,0.191
1852,10,-0.178,0.257,-0.261,0.191
1852,11,-0.55,0.301,-0.27,0.185
1852,12,0.056,0.322,-0.276,0.179
1853,1,-0.378,0.43,-0.27,0.172
1853,2,-0.347,0.342,-0.245,0.166
1853,3,-0.414,0.32,-0.254,0.161
1853,4,-0.29,0.264,-0.279,0.169
1853,5,-0.288,0.279,-0.289,0.161
1853,6,-0.194,0.232,-0.324,0.16
1853,7,0.023,0.233,-0.341,0.16
1853,8,-0.065,0.221,-0.363,0.17
1853,9,-0.417,0.205,-0.354,0.163
1853,10,-0.489,0.358,-0.365,0.153
1853,11,-0.67,0.293,-0.367,0.149
1853,12,-0.36,0.287,-0.392,0.142
1854,1,-0.579,0.376,-0.41,0.146
1854,2,-0.612,0.377,-0.421,0.151
1854,3,-0.304,0.267,-0.408,0.15
1854,4,-0.429,0.243,-0.359,0.149
1854,5,-0.31,0.238,-0.323,0.158
1854,6,-0.491,0.231,-0.312,0.153
1854,7,-0.19,0.203,-0.269,0.165
1854,8,-0.201,0.255,-0.229,0.167
1854,9,-0.263,0.231,-0.228,0.174
1854,10,0.106,0.335,-0.201,0.17
1854,11,-0.241,0.391,-0.196,0.164
1854,12,-0.228,0.397,-0.184,0.161
1855,1,-0.069,0.533,-0.201,0.159
1855,2,-0.132,0.364,-0.205,0.16
1855,3,-0.286,0.301,-0.224,0.16
1855,4,-0.109,0.272,-0.259,0.162
1855,5,-0.245,0.324,-0.273,0.157
1855,6,-0.356,0.325,-0.302,0.163
1855,7,-0.383,0.278,-0.297,0.167
1855,8,-0.256,0.267,-0.321,0.169
1855,9,-0.488,0.252,-0.333,0.173
1855,10,-0.319,0.31,-0.36,0.172
1855,11,-0.406,0.265,-0.37,0.176
1855,12,-0.577,0.327,-0.352,0.169
1856,1,-0.011,0.343,-0.344,0.165
1856,2,-0.416,0.322,-0.367,0.168
1856,3,-0.428,0.379,-0.387,0.168
1856,4,-0.432,0.243,-0.418,0.161
1856,5,-0.362,0.268,-0.433,0.162
1856,6,-0.144,0.267,-0.424,0.163
1856,7,-0.293,0.267,-0.469,0.158
1856,8,-0.523,0.31,-0.483,0.157
1856,9,-0.728,0.274,-0.501,0.154
1856,10,-0.695,0.227,-0.534,0.159
1856,11,-0.592,0.263,-0.568,0.156
1856,12,-0.463,0.289,-0.601,0.153
1857,1,-0.553,0.351,-0.617,0.156
1857,2,-0.587,0.312,-0.612,0.152
1857,3,-0.64,0.281,-0.597,0.152
1857,4,-0.831,0.292,-0.585,0.156
1857,5,-0.762,0.26,-0.58,0.156
1857,6,-0.551,0.214,-0.564,0.161
1857,7,-0.477,0.238,-0.54,0.16
1857,8,-0.465,0.249,-0.535,0.162
1857,9,-0.547,0.26,-0.51,0.161
1857,10,-0.552,0.276,-0.467,0.152
1857,11,-0.529,0.26,-0.44,0.152
1857,12,-0.272,0.289,-0.417,0.15
1858,1,-0.269,0.356,-0.405,0.15
1858,2,-0.527,0.288,-0.394,0.142
1858,3,-0.337,0.27,-0.39,0.135
1858,4,-0.312,0.244,-0.368,0.132
1858,5,-0.439,0.229,-0.341,0.134
1858,6,-0.281,0.166,-0.363,0.138
1858,7,-0.329,0.21,-0.375,0.14
1858,8,-0.329,0.225,-0.359,0.14
1858,9,-0.498,0.215,-0.354,0.144
1858,10,-0.297,0.255,-0.329,0.136
1858,11,-0.199,0.317,-0.294,0.133
1858,12,-0.537,0.31,-0.282,0.131
1859,1,-0.411,0.351,-0.282,0.133
1859,2,-0.333,0.301,-0.285,0.137
1859,3,-0.28,0.256,-0.288,0.133
1859,4,-0.014,0.213,-0.286,0.133
1859,5,-0.015,0.191,-0.287,0.126
1859,6,-0.14,0.159,-0.253,0.124
1859,7,-0.329,0.213,-0.25,0.116
1859,8,-0.367,0.237,-0.251,0.116
1859,9,-0.536,0.246,-0.289,0.117
1859,10,-0.267,0.23,-0.313,0.117
1859,11,-0.215,0.217,-0.333,0.114
1859,12,-0.131,0.312,-0.34,0.114
1860,1,-0.377,0.35,-0.336,0.115
1860,2,-0.346,0.304,-0.324,0.118
1860,3,-0.73,0.352,-0.305,0.117
1860,4,-0.31,0.24,-0.314,0.123
1860,5,-0.244,0.192,-0.342,0.127
1860,6,-0.228,0.18,-0.406,0.138
1860,7,-0.28,0.223,-0.463,0.142
1860,8,-0.227,0.212,-0.492,0.146
1860,9,-0.311,0.235,-0.482,0.149
1860,10,-0.37,0.227,-0.494,0.149
1860,11,-0.549,0.259,-0.515,0.154
1860,12,-0.902,0.296,-0.529,0.156
1861,1,-1.057,0.402,-0.534,0.16
1861,2,-0.69,0.319,-0.533,0.156
1861,3,-0.611,0.268,-0.542,0.153
1861,4,-0.462,0.23,-0.552,0.152
1861,5,-0.49,0.211,-0.525,0.148
1861,6,-0.402,0.242,-0.482,0.144
1861,7,-0.333,0.23,-0.474,0.143
1861,8,-0.214,0.204,-0.482,0.139
1861,9,-0.422,0.202,-0.476,0.137
1861,10,-0.489,0.227,-0.484,0.14
1861,11,-0.23,0.234,-0.47,0.141
1861,12,-0.39,0.323,-0.465,0.139
1862,1,-0.953,0.407,-0.466,0.137
1862,2,-0.787,0.303,-0.491,0.138
1862,3,-0.538,0.263,-0.503,0.137
1862,4,-0.561,0.315,-0.502,0.136
1862,5,-0.319,0.209,-0.531,0.136
1862,6,-0.342,0.232,-0.575,0.14
1862,7,-0.354,0.21,-0.509,0.139
1862,8,-0.511,0.236,-0.47,0.134
1862,9,-0.562,0.189,-0.455,0.132
1862,10,-0.484,0.231,-0.432,0.132
1862,11,-0.575,0.291,-0.426,0.13
1862,12,-0.911,0.351,-0.429,0.128
1863,1,-0.16,0.342,-0.431,0.13
1863,2,-0.318,0.357,-0.422,0.133
1863,3,-0.362,0.242,-0.418,0.138
1863,4,-0.285,0.247,-0.418,0.146
1863,5,-0.254,0.233,-0.401,0.15
1863,6,-0.367,0.194,-0.36,0.156
1863,7,-0.383,0.239,-0.396,0.165
1863,8,-0.396,0.248,-0.404,0.176
1863,9,-0.523,0.242,-0.407,0.179
1863,10,-0.484,0.241,-0.417,0.186
1863,11,-0.367,0.292,-0.409,0.189
1863,12,-0.426,0.369,-0.386,0.19
1864,1,-0.592,0.45,-0.369,0.189
1864,2,-0.412,0.373,-0.363,0.192
1864,3,-0.393,0.331,-0.36,0.192
1864,4,-0.411,0.251,-0.348,0.194
1864,5,-0.157,0.229,-0.35,0.191
1864,6,-0.092,0.24,-0.352,0.184
1864,7,-0.172,0.253,-0.296,0.176
1864,8,-0.324,0.313,-0.286,0.18
1864,9,-0.494,0.254,-0.288,0.171
1864,10,-0.339,0.271,-0.286,0.171
1864,11,-0.384,0.302,-0.296,0.17
1864,12,-0.456,0.24,-0.31,0.169
1865,1,0.083,0.342,-0.309,0.168
1865,2,-0.294,0.292,-0.301,0.163
1865,3,-0.417,0.245,-0.278,0.161
1865,4,-0.385,0.29,-0.266,0.161
1865,5,-0.281,0.228,-0.248,0.158
1865,6,-0.256,0.221,-0.251,0.158
1865,7,-0.163,0.282,-0.257,0.152
1865,8,-0.225,0.233,-0.264,0.151
1865,9,-0.215,0.242,-0.267,0.152
1865,10,-0.198,0.226,-0.279,0.15
1865,11,-0.177,0.244,-0.286,0.15
1865,12,-0.487,0.276,-0.286,0.149
1866,1,0.007,0.346,-0.263,0.15
1866,2,-0.371,0.319,-0.263,0.149
1866,3,-0.458,0.293,-0.271,0.147
1866,4,-0.523,0.239,-0.276,0.147
1866,5,-0.368,0.229,-0.266,0.146
1866,6,-0.261,0.215,-0.219,0.147
1866,7,0.115,0.24,-0.234,0.151
1866,8,-0.218,0.303,-0.231,0.148
1866,9,-0.314,0.226,-0.217,0.147
1866,10,-0.259,0.246,-0.186,0.148
1866,11,-0.055,0.236,-0.189,0.148
1866,12,0.074,0.265,-0.185,0.146
1867,1,-0.167,0.347,-0.211,0.146
1867,2,-0.336,0.31,-0.215,0.145
1867,3,-0.294,0.238,-0.201,0.144
1867,4,-0.143,0.272,-0.179,0.146
1867,5,-0.412,0.22,-0.154,0.151
1867,6,-0.215,0.199,-0.174,0.157
1867,7,-0.19,0.225,-0.203,0.162
1867,8,-0.266,0.25,-0.23,0.185
1867,9,-0.151,0.224,-0.23,0.18
1867,10,0.009,0.272,-0.227,0.177
1867,11,0.242,0.368,-0.202,0.175
1867,12,-0.163,0.356,-0.193,0.178
1868,1,-0.513,0.324,-0.173,0.175
1868,2,-0.665,0.316,-0.156,0.175
1868,3,-0.298,0.227,-0.167,0.18
1868,4,-0.106,0.264,-0.169,0.181
1868,5,-0.107,0.223,-0.217,0.165
1868,6,-0.108,0.216,-0.217,0.162
1868,7,0.048,0.195,-0.193,0.169
1868,8,-0.066,0.201,-0.143,0.165
1868,9,-0.272,0.218,-0.154,0.173
1868,10,-0.015,0.244,-0.168,0.163
1868,11,-0.339,0.235,-0.175,0.168
1868,12,-0.159,0.326,-0.183,0.166
1869,1,-0.226,0.388,-0.208,0.164
1869,2,-0.069,0.402,-0.218,0.169
1869,3,-0.433,0.244,-0.204,0.164
1869,4,-0.267,0.208,-0.221,0.157
1869,5,-0.191,0.247,-0.21,0.159
1869,6,-0.209,0.25,-0.231,0.15
1869,7,-0.246,0.201,-0.238,0.138
1869,8,-0.196,0.238,-0.273,0.13
1869,9,-0.096,0.189,-0.266,0.131
1869,10,-0.224,0.203,-0.266,0.14
1869,11,-0.199,0.224,-0.265,0.14
1869,12,-0.42,0.244,-0.257,0.137
1870,1,-0.312,0.274,-0.246,0.136
1870,2,-0.483,0.311,-0.254,0.136
1870,3,-0.344,0.242,-0.263,0.137
1870,4,-0.275,0.211,-0.273,0.139
1870,5,-0.18,0.207,-0.283,0.144
1870,6,-0.115,0.222,-0.296,0.144
1870,7,-0.108,0.215,-0.315,0.143
1870,8,-0.291,0.204,-0.323,0.143
1870,9,-0.211,0.19,-0.316,0.137
1870,10,-0.335,0.19,-0.299,0.131
1870,11,-0.326,0.287,-0.308,0.13
1870,12,-0.576,0.242,-0.318,0.128
1871,1,-0.539,0.278,-0.322,0.125
1871,2,-0.575,0.34,-0.314,0.121
1871,3,-0.261,0.204,-0.331,0.123
1871,4,-0.066,0.173,-0.323,0.126
1871,5,-0.296,0.223,-0.34,0.122
1871,6,-0.23,0.175,-0.324,0.118
1871,7,-0.161,0.212,-0.316,0.128
1871,8,-0.197,0.203,-0.302,0.129
1871,9,-0.406,0.221,-0.31,0.136
1871,10,-0.249,0.242,-0.334,0.149
1871,11,-0.528,0.244,-0.326,0.152
1871,12,-0.385,0.23,-0.33,0.154
1872,1,-0.445,0.385,-0.327,0.155
1872,2,-0.395,0.264,-0.314,0.151
1872,3,-0.357,0.255,-0.297,0.149
1872,4,-0.363,0.282,-0.293,0.146
1872,5,-0.193,0.234,-0.285,0.145
1872,6,-0.279,0.179,-0.294,0.152
1872,7,-0.126,0.222,-0.283,0.145
1872,8,-0.048,0.212,-0.258,0.148
1872,9,-0.199,0.2,-0.252,0.144
1872,10,-0.204,0.212,-0.26,0.148
1872,11,-0.425,0.238,-0.267,0.149
1872,12,-0.49,0.278,-0.262,0.153
1873,1,-0.321,0.268,-0.266,0.15
1873,2,-0.091,0.26,-0.275,0.153
1873,3,-0.282,0.231,-0.291,0.154
1873,4,-0.461,0.333,-0.294,0.149
1873,5,-0.28,0.246,-0.287,0.151
1873,6,-0.214,0.229,-0.265,0.146
1873,7,-0.179,0.208,-0.257,0.136
1873,8,-0.155,0.208,-0.272,0.129
1873,9,-0.385,0.227,-0.301,0.123
1873,10,-0.246,0.186,-0.294,0.121
1873,11,-0.339,0.194,-0.289,0.12
1873,12,-0.223,0.216,-0.3,0.119
1874,1,-0.224,0.244,-0.308,0.121
1874,2,-0.273,0.208,-0.31,0.121
1874,3,-0.634,0.181,-0.293,0.119
1874,4,-0.377,0.189,-0.299,0.119
1874,5,-0.215,0.252,-0.306,0.117
1874,6,-0.352,0.194,-0.313,0.111
1874,7,-0.273,0.23,-0.333,0.112
1874,8,-0.182,0.21,-0.341,0.111
1874,9,-0.176,0.19,-0.326,0.116
1874,10,-0.321,0.197,-0.328,0.114
1874,11,-0.418,0.184,-0.334,0.109
1874,12,-0.31,0.231,-0.329,0.104
1875,1,-0.465,0.22,-0.325,0.101
1875,2,-0.364,0.195,-0.332,0.098
1875,3,-0.464,0.194,-0.341,0.098
1875,4,-0.393,0.17,-0.329,0.098
1875,5,-0.293,0.169,-0.341,0.098
1875,6,-0.293,0.148,-0.354,0.105
1875,7,-0.225,0.173,-0.347,0.105
1875,8,-0.26,0.199,-0.339,0.105
1875,9,-0.284,0.197,-0.325,0.1
1875,10,-0.184,0.179,-0.316,0.101
1875,11,-0.56,0.186,-0.335,0.099
1875,12,-0.462,0.203,-0.339,0.102
1876,1,-0.384,0.256,-0.335,0.101
1876,2,-0.273,0.191,-0.341,0.1
1876,3,-0.294,0.179,-0.348,0.1
1876,4,-0.279,0.182,-0.355,0.101
1876,5,-0.528,0.195,-0.348,0.101
1876,6,-0.342,0.168,-0.358,0.101
1876,7,-0.177,0.186,-0.348,0.1
1876,8,-0.321,0.205,-0.333,0.102
1876,9,-0.369,0.184,-0.304,0.103
1876,10,-0.269,0.177,-0.291,0.103
1876,11,-0.479,0.185,-0.253,0.105
1876,12,-0.58,0.181,-0.231,0.103
1877,1,-0.264,0.212,-0.207,0.103
1877,2,-0.093,0.216,-0.163,0.102
1877,3,0.05,0.17,-0.121,0.104
1877,4,-0.123,0.182,-0.084,0.104
1877,5,-0.074,0.199,-0.026,0.106
1877,6,-0.079,0.196,0.014,0.105
1877,7,0.113,0.17,0.035,0.11
1877,8,0.208,0.178,0.076,0.111
1877,9,0.141,0.187,0.119,0.111
1877,10,0.177,0.189,0.154,0.112
1877,11,0.206,0.222,0.154,0.111
1877,12,-0.089,0.287,0.167,0.122
1878,1,-0.018,0.288,0.168,0.126
1878,2,0.404,0.218,0.155,0.13
1878,3,0.559,0.173,0.141,0.134
1878,4,0.294,0.187,0.121,0.133
1878,5,-0.073,0.166,0.106,0.131
1878,6,0.085,0.187,0.103,0.12
1878,7,0.116,0.202,0.096,0.109
1878,8,0.062,0.186,0.044,0.1
1878,9,-0.033,0.19,-0.009,0.099
1878,10,-0.058,0.172,-0.059,0.096
1878,11,0.019,0.17,-0.075,0.099
1878,12,-0.116,0.161,-0.1,0.101
1879,1,-0.107,0.202,-0.128,0.101
1879,2,-0.224,0.204,-0.155,0.104
1879,3,-0.078,0.179,-0.18,0.101
1879,4,-0.302,0.16,-0.184,0.103
1879,5,-0.267,0.196,-0.209,0.103
1879,6,-0.211,0.241,-0.241,0.101
1879,7,-0.223,0.194,-0.265,0.108
1879,8,-0.262,0.206,-0.289,0.117
1879,9,-0.329,0.173,-0.307,0.118
1879,10,-0.102,0.198,-0.311,0.119
1879,11,-0.287,0.176,-0.309,0.119
1879,12,-0.494,0.169,-0.317,0.116
1880,1,-0.395,0.287,-0.322,0.118
1880,2,-0.518,0.195,-0.317,0.116
1880,3,-0.291,0.191,-0.323,0.116
1880,4,-0.353,0.175,-0.342,0.115
1880,5,-0.236,0.191,-0.333,0.114
1880,6,-0.318,0.185,-0.312,0.12
1880,7,-0.279,0.21,-0.286,0.107
1880,8,-0.203,0.191,-0.259,0.106
1880,9,-0.399,0.183,-0.241,0.106
1880,10,-0.326,0.165,-0.213,0.107
1880,11,-0.181,0.175,-0.199,0.107
1880,12,-0.238,0.208,-0.202,0.106
1881,1,-0.094,0.212,-0.192,0.104
1881,2,-0.193,0.201,-0.187,0.102
1881,3,-0.074,0.184,-0.179,0.101
1881,4,-0.011,0.173,-0.174,0.102
1881,5,-0.072,0.194,-0.191,0.103
1881,6,-0.354,0.176,-0.189,0.101
1881,7,-0.157,0.195,-0.175,0.099
1881,8,-0.143,0.178,-0.158,0.095
1881,9,-0.31,0.176,-0.162,0.088
1881,10,-0.256,0.175,-0.185,0.086
1881,11,-0.387,0.166,-0.2,0.084
1881,12,-0.221,0.176,-0.2,0.082
1882,1,0.08,0.194,-0.216,0.081
1882,2,0.003,0.164,-0.221,0.08
1882,3,-0.117,0.157,-0.212,0.08
1882,4,-0.285,0.148,-0.221,0.079
1882,5,-0.256,0.164,-0.224,0.08
1882,6,-0.349,0.142,-0.255,0.08
1882,7,-0.356,0.167,-0.296,0.083
1882,8,-0.194,0.183,-0.332,0.083
1882,9,-0.208,0.156,-0.331,0.084
1882,10,-0.364,0.141,-0.335,0.083
1882,11,-0.415,0.169,-0.333,0.082
1882,12,-0.603,0.199,-0.315,0.083
1883,1,-0.411,0.169,-0.308,0.083
1883,2,-0.426,0.169,-0.321,0.083
1883,3,-0.104,0.132,-0.334,0.083
1883,4,-0.333,0.149,-0.325,0.081
1883,5,-0.236,0.157,-0.332,0.082
1883,6,-0.132,0.142,-0.305,0.08
1883,7,-0.27,0.178,-0.291,0.08
1883,8,-0.352,0.172,-0.272,0.081
1883,9,-0.361,0.166,-0.307,0.081
1883,10,-0.255,0.14,-0.325,0.082
1883,11,-0.499,0.173,-0.355,0.081
1883,12,-0.276,0.16,-0.387,0.081
1884,1,-0.252,0.189,-0.411,0.083
1884,2,-0.198,0.153,-0.421,0.084
1884,3,-0.517,0.145,-0.437,0.083
1884,4,-0.555,0.136,-0.455,0.083
1884,5,-0.59,0.154,-0.464,0.081
1884,6,-0.518,0.154,-0.478,0.083
1884,7,-0.557,0.171,-0.514,0.086
